2025-06-12 11:04:23.429 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:14 - 准备发送请求地址:POST https://localhost:5000//v1/api/iserver/auth/status
2025-06-12 11:04:23.429 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:15 - 准备发送请求参数:None
2025-06-12 11:04:27.510 | ERROR    | ebang_securities_mcp_server.utils.common_request:send_ib_request:49 - POST 请求 https://localhost:5000//v1/api/iserver/auth/status 出错: HTTPSConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /v1/api/iserver/auth/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000223F1806620>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
2025-06-12 11:05:27.533 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:14 - 准备发送请求地址:POST https://localhost:5000//v1/api/iserver/auth/status
2025-06-12 11:05:27.533 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:15 - 准备发送请求参数:None
2025-06-12 11:05:31.634 | ERROR    | ebang_securities_mcp_server.utils.common_request:send_ib_request:49 - POST 请求 https://localhost:5000//v1/api/iserver/auth/status 出错: HTTPSConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /v1/api/iserver/auth/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000223F1807CD0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
2025-06-12 11:06:31.729 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:14 - 准备发送请求地址:POST https://localhost:5000//v1/api/iserver/auth/status
2025-06-12 11:06:31.730 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:15 - 准备发送请求参数:None
2025-06-12 11:06:35.823 | ERROR    | ebang_securities_mcp_server.utils.common_request:send_ib_request:49 - POST 请求 https://localhost:5000//v1/api/iserver/auth/status 出错: HTTPSConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /v1/api/iserver/auth/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000223F1807BE0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
2025-06-12 11:07:35.838 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:14 - 准备发送请求地址:POST https://localhost:5000//v1/api/iserver/auth/status
2025-06-12 11:07:35.838 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:15 - 准备发送请求参数:None
2025-06-12 11:07:39.888 | ERROR    | ebang_securities_mcp_server.utils.common_request:send_ib_request:49 - POST 请求 https://localhost:5000//v1/api/iserver/auth/status 出错: HTTPSConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /v1/api/iserver/auth/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000223F186D630>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
2025-06-12 11:08:39.915 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:14 - 准备发送请求地址:POST https://localhost:5000//v1/api/iserver/auth/status
2025-06-12 11:08:39.915 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:15 - 准备发送请求参数:None
2025-06-12 11:08:43.997 | ERROR    | ebang_securities_mcp_server.utils.common_request:send_ib_request:49 - POST 请求 https://localhost:5000//v1/api/iserver/auth/status 出错: HTTPSConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /v1/api/iserver/auth/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000223F1807EB0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
2025-06-12 11:09:44.073 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:14 - 准备发送请求地址:POST https://localhost:5000//v1/api/iserver/auth/status
2025-06-12 11:09:44.073 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:15 - 准备发送请求参数:None
2025-06-12 11:09:48.137 | ERROR    | ebang_securities_mcp_server.utils.common_request:send_ib_request:49 - POST 请求 https://localhost:5000//v1/api/iserver/auth/status 出错: HTTPSConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /v1/api/iserver/auth/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000223F1805210>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
2025-06-12 11:10:48.185 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:14 - 准备发送请求地址:POST https://localhost:5000//v1/api/iserver/auth/status
2025-06-12 11:10:48.186 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:15 - 准备发送请求参数:None
2025-06-12 11:10:52.261 | ERROR    | ebang_securities_mcp_server.utils.common_request:send_ib_request:49 - POST 请求 https://localhost:5000//v1/api/iserver/auth/status 出错: HTTPSConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /v1/api/iserver/auth/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000223F18070A0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
2025-06-12 11:11:52.267 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:14 - 准备发送请求地址:POST https://localhost:5000//v1/api/iserver/auth/status
2025-06-12 11:11:52.267 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:15 - 准备发送请求参数:None
2025-06-12 11:11:56.345 | ERROR    | ebang_securities_mcp_server.utils.common_request:send_ib_request:49 - POST 请求 https://localhost:5000//v1/api/iserver/auth/status 出错: HTTPSConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /v1/api/iserver/auth/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000223F186C490>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
2025-06-12 11:12:56.455 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:14 - 准备发送请求地址:POST https://localhost:5000//v1/api/iserver/auth/status
2025-06-12 11:12:56.456 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:15 - 准备发送请求参数:None
2025-06-12 11:13:00.541 | ERROR    | ebang_securities_mcp_server.utils.common_request:send_ib_request:49 - POST 请求 https://localhost:5000//v1/api/iserver/auth/status 出错: HTTPSConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /v1/api/iserver/auth/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000223F186D360>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
2025-06-12 11:14:00.625 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:14 - 准备发送请求地址:POST https://localhost:5000//v1/api/iserver/auth/status
2025-06-12 11:14:00.625 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:15 - 准备发送请求参数:None
2025-06-12 11:14:04.718 | ERROR    | ebang_securities_mcp_server.utils.common_request:send_ib_request:49 - POST 请求 https://localhost:5000//v1/api/iserver/auth/status 出错: HTTPSConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /v1/api/iserver/auth/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000223F1807970>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
2025-06-12 11:15:04.780 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:14 - 准备发送请求地址:POST https://localhost:5000//v1/api/iserver/auth/status
